epoch,train_loss,val_loss
0,1.2362721023149787,1.2016256682574749
1,1.222504783181163,1.190759567078203
2,1.2215569927046697,1.1914375321939588
3,1.2207165819437553,1.1939062971621752
4,1.2206001871653522,1.1944065487012268
5,1.22059088225166,1.1943452814593911
6,1.2205829408795883,1.194337402842939
7,1.2205797158414498,1.1943271582946182
8,1.2205726189306005,1.1943211622536183
9,1.2205741439325115,1.1943243004381656
10,1.2205677676325044,1.1943173566833138
11,1.2205708010665453,1.194320478476584
12,1.2205718376751369,1.1943220412358642
13,1.2205800398718565,1.1943301443010568
14,1.2205608902188638,1.1943093890324235
15,1.2205703186414516,1.1943193573504687
16,1.220565204283533,1.194312948361039
17,1.2205675403277079,1.194316595979035
18,1.2205774567478025,1.194326077401638
19,1.2205670420235644,1.19431639816612
